0,1,2,3,4;11:45;Noubliez pas de signer votre feuille démargement!
0,1,2,3;17:45;Noubliez pas de signer votre feuille démargement!
4;17:15;Noubliez pas de signer votre feuille démargement!
4;17:25;Bon weekend, Mesdames et Messieurs. Je serais pour ma part de retour lundi après avoir fait la vidange de la batmobile...
0,1,2,3,4;09:00;Bonjour tout le monde, Je suis toujours lààààààà
